Brand,Model,Version,Price,Modèle,Main,Kilométrage,Carburant,Transmision,Puissance fiscale,Couleur extérieure,Etat du véhicule,Climatisation,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Caméra de recul,Bluetooth,Jantes aluminium,Volant cuir,Feux de jour,Barres de toit,Toit,Airbags,ABS,ESP,Antipatinage,Architecture,Cylindrée,Conso. ville,Conso. route,Vitesse maxi.,Volume du réservoir
MERCEDES,Classe C 2014,220 d,228.000 DH,2014.0,Seconde,144.500 km,Diesel,Automatique,8 cv,Gris foncé,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,non,non,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2003,220 CDI,79.000 DH,2003.0,Seconde,350.000 km,Diesel,Manuelle,8 cv,Noir,Très bon,auto.,Electrique AV/AR,Tous les passagers,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe B 2013,180 d Urban,150.000 DH,2013.0,Seconde,144.000 km,Diesel,Manuelle,8 cv,Noir,Comme neuve,manuelle,Electrique AV/AR,non,oui,non,oui,oui,oui,oui,non,non,non,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 2006,Autre version,135.000 DH,2006.0,Seconde,248.000 km,Diesel,Automatique,9 cv,Gris clair,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,non,oui,oui,oui,non,non,oui,oui,non,oui,oui,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,CLA Coupé 2014,220 CDI,240.000 DH,2014.0,Seconde,103.000 km,Diesel,Automatique,9 cv,Blanc cassé,Excellent,auto.,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,oui,non,oui,non,oui,oui,oui,non,oui,non,Panoramique,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 2010,250 CDI BlueEfficiency Classic,150.000 DH VENDUE,2010.0,Seconde,169.950 km,Diesel,Automatique,9 cv,Gris,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur,oui,non,oui,oui,oui,oui,non,oui,oui,non,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 2016,220 d DCT Luxury,580.000 DH,2016.0,Seconde,18.000 km,Diesel,Automatique,8 cv,Noir,Comme neuve,auto. Multi-zone,Electrique AV/AR,Tous les passagers,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2013,200 d Avantgarde +,228.000 DH,2013.0,Première,155.000 km,Diesel,Automatique,9 cv,Gris,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,GLA 2017,200 d Urban,290.000 DH VENDUE,2017.0,Première,67.271 km,Diesel,Automatique,9 cv,Noir,Comme neuve,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,CLA Coupé 2014,200 CDI,240.000 DH,2014.0,Seconde,87.000 km,Diesel,Manuelle,6 cv,Blanc,Très bon,auto.,Electrique AV/AR,non,oui,non,oui,oui,non,oui,non,non,oui,oui,non,oui,oui,oui,non,non,non,Rigide,oui,oui,oui,oui,,,,,,
